DateTime,Close,Open,High,Low,Volume
09:15 25.05.22,1828.7,1828.7,1831.6,1825.6,825
09:20 25.05.22,1825.6,1828.6,1829.6,1824.6,770
09:25 25.05.22,1823.6,1825.6,1826.6,1823.6,534
09:30 25.05.22,1819.6,1823.6,1823.7,1819.6,828
09:35 25.05.22,1814.6,1819.6,1819.7,1814.6,956
09:40 25.05.22,1816.6,1814.7,1817.6,1814.7,599
09:45 25.05.22,1816.6,1815.7,1816.6,1810.8,1064
09:50 25.05.22,1812.6,1816.6,1817.6,1812.6,798
09:55 25.05.22,1809.6,1811.7,1812.6,1806.6,1120
10:00 25.05.22,1804.7,1809.6,1811.6,1802.6,1180
10:05 25.05.22,1800.6,1804.7,1805.6,1798.6,1340
10:10 25.05.22,1803.6,1799.7,1804.6,1798.6,799
10:15 25.05.22,1797.6,1803.6,1803.6,1795.6,872
10:20 25.05.22,1800.6,1797.6,1802.6,1796.7,743
10:25 25.05.22,1801.6,1800.7,1803.6,1800.6,541
10:30 25.05.22,1803.7,1801.7,1805.6,1801.7,564
10:35 25.05.22,1803.7,1803.7,1805.6,1801.6,590
10:40 25.05.22,1805.6,1803.7,1806.6,1803.7,443
10:45 25.05.22,1803.7,1805.6,1805.7,1803.7,362
10:50 25.05.22,1805.6,1803.7,1805.6,1801.6,369
10:55 25.05.22,1801.7,1805.6,1806.6,1801.7,335
11:00 25.05.22,1795.6,1801.7,1801.7,1795.6,512
11:05 25.05.22,1792.7,1794.7,1796.6,1792.6,739
11:10 25.05.22,1793.7,1792.7,1795.6,1792.6,825
11:15 25.05.22,1797.6,1793.7,1797.6,1793.6,357
11:20 25.05.22,1798.6,1798.6,1798.6,1796.6,515
11:25 25.05.22,1798.6,1798.6,1799.6,1796.6,369
11:30 25.05.22,1796.6,1797.7,1797.7,1794.7,406
11:35 25.05.22,1796.6,1796.6,1796.6,1796.6,27
11:40 25.05.22,1796.6,1796.6,1798.6,1796.6,328
11:45 25.05.22,1799.7,1795.7,1800.6,1795.7,470
11:50 25.05.22,1802.6,1799.7,1802.7,1799.7,421
11:55 25.05.22,1802.6,1802.6,1803.6,1802.6,220
12:00 25.05.22,1803.6,1801.6,1803.6,1800.7,478
12:05 25.05.22,1803.6,1803.6,1805.6,1803.6,334
12:10 25.05.22,1802.6,1803.6,1805.6,1802.6,470
12:15 25.05.22,1799.7,1802.6,1803.6,1799.7,459
12:20 25.05.22,1802.6,1799.7,1803.6,1799.7,357
