Date,Open,High,Low,Close,Adj Close,Volume
2018-03-02,92.400002,93.900002,91.540001,92.800003,87.819214,187570
2018-03-05,92.599998,94.360001,91.699997,92.599998,87.629944,131677
2018-03-06,93.000000,97.639999,92.919998,97.639999,92.399437,266947
2018-03-07,97.279999,101.599998,96.540001,101.599998,96.146889,381205
2018-03-08,101.000000,101.400002,98.559998,98.800003,93.497177,305699
2018-03-09,98.500000,99.500000,97.699997,99.040001,93.724297,165690
2018-03-12,99.980003,100.500000,97.400002,97.900002,92.645485,161321
2018-03-13,93.500000,99.500000,93.199997,98.180000,92.910454,837375
2018-03-14,98.500000,99.500000,95.500000,95.760002,90.620338,310718
2018-03-15,97.000000,97.480003,94.400002,94.800003,89.711868,224211
2018-03-16,94.500000,96.400002,91.720001,93.739998,88.708755,551731
2018-03-19,94.599998,94.839996,91.660004,92.000000,87.062149,301522
2018-03-20,92.500000,93.820000,91.800003,93.519997,88.500565,297565
2018-03-21,93.519997,95.300003,92.940002,95.300003,90.185028,296854
2018-03-22,95.000000,96.599998,93.300003,94.180000,89.125145,286848
2018-03-23,92.000000,92.800003,89.639999,92.000000,87.062149,402237
2018-03-26,92.400002,92.620003,87.000000,87.220001,82.538704,287911
2018-03-27,88.599998,89.199997,84.779999,85.000000,80.437851,356127
2018-03-28,82.000000,84.000000,79.000000,79.500000,75.233047,582739
2018-03-29,79.500000,83.300003,79.419998,81.080002,76.728249,359845
2018-03-30,81.080002,81.080002,81.080002,81.080002,76.728249,0
2018-04-02,81.080002,81.080002,81.080002,81.080002,76.728249,0
2018-04-03,80.800003,85.900002,79.699997,85.500000,80.911018,377789
2018-04-04,85.500000,86.160004,82.680000,83.180000,78.715538,265787
2018-04-05,84.400002,87.379997,84.400002,86.779999,82.122314,278074
2018-04-06,85.000000,86.800003,85.000000,85.419998,80.835312,121971
2018-04-09,85.500000,87.339996,83.599998,85.120003,80.551414,172975
2018-04-10,85.599998,86.839996,84.699997,84.760002,80.210739,134138
2018-04-11,84.800003,86.739998,84.800003,86.500000,81.857346,230469
2018-04-12,86.000000,88.400002,85.500000,87.099998,82.425140,389839
2018-04-13,87.000000,89.860001,87.000000,88.080002,83.352547,177546
2018-04-16,90.300003,91.980003,88.120003,88.839996,84.071747,253751
2018-04-17,89.519997,89.519997,86.300003,87.620003,82.917236,166499
2018-04-18,88.500000,88.680000,87.400002,88.139999,83.409325,163780
2018-04-19,86.699997,88.099998,85.680000,86.779999,82.122314,236978
2018-04-20,87.300003,89.199997,87.000000,88.180000,83.447174,163047
2018-04-23,88.180000,89.040001,86.879997,87.139999,82.462997,79353
2018-04-24,87.059998,88.779999,86.680000,86.680000,82.027687,169304
2018-04-25,86.199997,86.300003,82.599998,82.599998,78.166664,221205
2018-04-26,82.500000,83.980003,82.199997,83.199997,78.734459,157879
2018-04-27,83.500000,84.800003,83.040001,83.500000,79.018364,142477
2018-04-30,84.459999,84.500000,82.459999,82.820000,78.374855,150630
2018-05-01,82.820000,82.820000,82.820000,82.820000,78.374855,0
2018-05-02,82.820000,84.000000,80.459999,80.459999,76.141525,170226
2018-05-03,80.459999,80.459999,80.459999,80.459999,76.141525,0
2018-05-04,80.300003,81.360001,77.540001,78.419998,74.211014,288139
2018-05-07,78.000000,81.360001,77.440002,80.019997,75.725136,151669
2018-05-08,80.500000,81.860001,77.160004,79.320000,75.062714,278197
2018-05-09,80.000000,82.120003,80.000000,82.120003,77.712433,218581
2018-05-10,82.160004,85.000000,82.160004,84.139999,79.624008,165792
2018-05-11,83.800003,85.480003,83.099998,83.959999,79.453674,153148
2018-05-14,83.620003,84.860001,81.980003,83.000000,78.545197,106582
2018-05-15,82.300003,82.400002,80.000000,80.820000,76.482201,168052
2018-05-16,80.639999,84.500000,80.000000,84.160004,79.642944,260199
2018-05-17,84.000000,91.900002,83.720001,88.199997,83.466103,434794
2018-05-18,89.300003,89.300003,83.099998,84.959999,80.400002,166474
2018-05-21,85.620003,86.519997,83.800003,86.400002,81.762711,148025
2018-05-22,86.680000,88.500000,84.800003,87.199997,82.519768,196970
2018-05-23,86.000000,86.000000,81.680000,82.599998,78.166664,362046
2018-05-24,83.000000,84.239998,81.500000,82.900002,78.450569,130267
2018-05-25,83.459999,83.540001,81.980003,83.000000,78.545197,89628
2018-05-28,82.300003,84.779999,82.300003,84.440002,79.907913,68688
2018-05-29,83.980003,84.400002,81.980003,84.160004,79.642944,112299
2018-05-30,83.199997,84.379997,81.239998,83.419998,78.942657,380722
2018-05-31,83.419998,83.419998,83.419998,83.419998,78.942657,0
2018-06-01,83.940002,83.940002,81.120003,83.860001,79.359039,77931
2018-06-04,83.459999,85.400002,83.459999,84.500000,79.964691,108819
2018-06-05,84.900002,87.160004,83.559998,86.660004,82.008759,166891
2018-06-06,87.599998,91.839996,87.599998,89.739998,84.923447,292636
2018-06-07,90.500000,92.400002,90.199997,90.900002,86.021187,124684
2018-06-08,90.440002,91.500000,89.300003,91.000000,86.115822,101603
2018-06-11,90.000000,91.459999,88.680000,90.639999,85.775139,174907
2018-06-12,91.120003,91.120003,88.900002,89.080002,84.298874,98705
2018-06-13,89.040001,89.500000,86.339996,88.739998,83.977119,213223
2018-06-14,87.500000,88.599998,86.959999,88.000000,83.276840,180026
2018-06-15,87.980003,88.900002,86.099998,86.599998,81.951973,287386
2018-06-18,86.559998,86.599998,81.519997,81.900002,77.504242,204703
2018-06-19,80.239998,81.000000,79.199997,79.900002,75.611580,174333
2018-06-20,81.000000,83.000000,80.800003,81.199997,76.841805,110156
2018-06-21,82.059998,82.699997,79.300003,79.720001,75.441246,142846
2018-06-22,79.900002,81.180000,78.879997,80.099998,75.800850,124991
2018-06-25,80.000000,82.879997,78.800003,79.320000,75.062714,120112
2018-06-26,79.500000,80.419998,78.000000,78.080002,73.889267,156804
2018-06-27,78.080002,79.000000,77.160004,78.680000,74.457062,113251
2018-06-28,77.599998,78.580002,75.660004,76.320000,72.223732,134885
2018-06-29,76.500000,79.000000,76.500000,76.699997,72.583328,174612
2018-07-02,76.379997,76.459999,74.419998,75.699997,71.637001,88866
2018-07-03,75.900002,78.199997,75.900002,77.500000,73.340393,133206
2018-07-04,78.000000,78.400002,76.800003,77.599998,73.435028,66428
2018-07-05,78.599998,78.599998,76.800003,76.839996,72.715813,164260
2018-07-06,78.080002,78.080002,74.500000,74.699997,70.690674,194262
2018-07-09,77.120003,77.120003,73.839996,74.040001,70.066101,106728
2018-07-10,74.800003,79.000000,74.800003,77.940002,73.756783,283814
2018-07-11,76.000000,77.500000,75.260002,75.639999,71.580223,191126
2018-07-12,76.320000,76.879997,74.199997,74.800003,70.785316,93009
2018-07-13,74.800003,75.300003,74.000000,74.680000,70.671753,100463
2018-07-16,75.180000,76.080002,74.820000,75.500000,71.447739,77169
2018-07-17,75.400002,75.800003,74.099998,75.400002,71.353111,120578
2018-07-18,75.900002,77.559998,75.139999,76.080002,71.996613,91943
2018-07-19,76.580002,76.580002,73.500000,73.620003,69.668648,291094
2018-07-20,73.800003,75.139999,73.099998,74.599998,70.596046,236041
2018-07-23,75.000000,75.480003,74.239998,74.760002,70.747459,108301
2018-07-24,74.760002,77.900002,74.760002,77.199997,73.056496,433830
2018-07-25,77.000000,79.500000,76.019997,78.599998,74.381355,195956
2018-07-26,78.300003,81.000000,78.300003,79.739998,75.460167,194659
2018-07-27,81.000000,81.059998,79.680000,80.620003,76.292938,78525
2018-07-30,80.220001,80.580002,78.000000,80.459999,76.141525,218945
2018-07-31,79.580002,80.440002,78.500000,78.900002,74.665253,223295
2018-08-01,79.500000,79.500000,78.019997,79.500000,75.233047,101826
2018-08-02,79.000000,79.040001,77.199997,77.800003,73.624298,92157
2018-08-03,77.800003,78.599998,76.959999,77.000000,72.867233,42021
2018-08-06,77.339996,78.919998,76.480003,78.919998,74.684181,74881
2018-08-07,79.500000,80.320000,78.580002,78.839996,74.608475,164324
2018-08-08,78.800003,80.199997,77.699997,77.980003,73.794640,91493
2018-08-09,77.540001,78.480003,77.320000,78.019997,73.832481,48932
2018-08-10,77.500000,78.379997,76.120003,77.099998,72.961861,121454
2018-08-13,76.820000,76.919998,75.580002,75.739998,71.674858,83696
2018-08-14,76.300003,78.459999,76.199997,78.459999,74.248871,62163
2018-08-15,78.459999,78.459999,78.459999,78.459999,74.248871,0
2018-08-16,76.000000,78.940002,74.839996,75.199997,71.163841,196799
2018-08-17,75.220001,76.080002,74.500000,74.500000,70.501411,173036
2018-08-20,74.620003,75.580002,74.480003,75.300003,71.258476,93573
2018-08-21,75.300003,76.540001,74.099998,75.379997,71.334175,109956
2018-08-22,74.699997,76.440002,74.620003,75.660004,71.599159,131183
2018-08-23,75.059998,76.300003,74.599998,75.739998,71.674858,118281
2018-08-24,76.000000,76.699997,74.000000,74.000000,70.028252,221679
2018-08-27,76.000000,83.459999,76.000000,80.900002,76.557915,332601
2018-08-28,81.199997,81.199997,78.919998,79.099998,74.854515,232012
2018-08-29,80.000000,80.000000,78.519997,79.000000,74.759888,256834
2018-08-30,78.959999,79.500000,78.059998,78.059998,73.870338,109930
2018-08-31,78.099998,78.180000,76.519997,77.000000,72.867233,157672
2018-09-03,76.980003,78.959999,76.500000,76.500000,72.394066,70191
2018-09-04,76.540001,77.980003,75.779999,76.660004,72.545486,154036
2018-09-05,76.660004,76.900002,74.400002,74.400002,70.406784,182947
2018-09-06,74.500000,75.199997,73.800003,73.800003,69.838989,174409
2018-09-07,73.800003,74.459999,67.199997,68.239998,64.577400,504539
2018-09-10,68.000000,68.320000,61.200001,63.000000,59.618645,494461
2018-09-11,63.560001,66.459999,63.500000,66.459999,62.892937,375371
2018-09-12,67.879997,68.480003,65.760002,68.220001,64.558479,330785
2018-09-13,68.220001,69.699997,68.000000,68.699997,65.012711,220258
2018-09-14,69.199997,69.500000,67.000000,68.139999,64.482765,131860
2018-09-17,67.540001,68.000000,65.800003,66.120003,62.571190,178499
2018-09-18,66.220001,67.879997,66.220001,66.400002,62.836159,225248
2018-09-19,67.000000,68.000000,65.480003,66.779999,63.195763,334358
2018-09-20,66.519997,69.059998,66.519997,68.459999,64.785591,384657
2018-09-21,68.680000,69.900002,68.000000,68.720001,65.031639,1808627
2018-09-24,68.220001,70.480003,67.220001,68.320000,64.653107,142968
2018-09-25,68.900002,69.199997,67.660004,67.860001,64.217796,65157
2018-09-26,68.000000,71.419998,68.000000,68.620003,64.937012,272690
2018-09-27,68.599998,69.500000,67.360001,68.459999,64.785591,199944
2018-09-28,68.419998,68.419998,65.599998,66.199997,62.646889,147810
2018-10-01,66.739998,69.000000,66.260002,67.699997,64.066383,134655
2018-10-02,67.000000,68.440002,66.599998,68.000000,64.350281,112456
2018-10-03,68.400002,70.680000,68.099998,69.980003,66.224014,192662
2018-10-04,69.000000,69.500000,66.540001,66.879997,63.290394,204482
2018-10-05,67.080002,68.459999,66.500000,67.199997,63.593216,190873
2018-10-08,67.300003,67.900002,65.559998,65.559998,62.041241,127955
2018-10-09,65.199997,67.040001,64.580002,65.779999,62.249435,180834
2018-10-10,66.639999,67.500000,65.620003,66.959999,63.366100,218171
2018-10-11,65.000000,66.000000,64.199997,65.199997,61.700562,132393
2018-10-12,66.300003,68.099998,65.800003,66.300003,62.741528,262333
2018-10-15,66.300003,67.400002,66.000000,66.500000,62.930790,81661
2018-10-16,66.800003,69.120003,66.660004,68.239998,64.577400,235703
2018-10-17,69.000000,70.800003,69.000000,70.779999,66.981071,246077
2018-10-18,70.800003,70.800003,68.199997,70.059998,66.299713,271305
2018-10-19,70.059998,71.000000,69.160004,70.980003,67.170341,206212
2018-10-22,71.099998,71.940002,69.900002,71.879997,68.022034,304778
2018-10-23,69.220001,70.000000,68.660004,69.300003,65.580513,325477
2018-10-24,69.699997,69.980003,68.800003,69.379997,65.656212,200510
2018-10-25,68.699997,69.300003,67.500000,69.139999,65.429092,198020
2018-10-26,68.400002,69.339996,67.720001,68.620003,64.937012,162335
2018-10-29,69.000000,69.180000,67.660004,68.000000,64.350281,148135
2018-10-30,68.660004,71.400002,68.379997,71.000000,67.189262,215520
2018-10-31,71.360001,74.000000,71.000000,74.000000,70.028252,358021
2018-11-01,74.000000,74.000000,74.000000,74.000000,70.028252,0
2018-11-02,74.500000,76.980003,74.500000,76.019997,71.939827,510426
2018-11-05,76.000000,79.839996,75.599998,79.120003,74.873451,375438
2018-11-06,79.500000,79.900002,77.699997,79.000000,74.759888,183314
2018-11-07,78.199997,79.199997,78.000000,78.599998,74.381355,137467
2018-11-08,79.000000,79.900002,78.000000,78.639999,74.419212,177862
2018-11-09,78.019997,78.040001,75.300003,75.900002,71.826271,132425
2018-11-12,75.900002,75.900002,75.900002,75.900002,71.826271,0
2018-11-13,75.099998,77.739998,73.000000,73.059998,69.138695,244886
2018-11-14,72.120003,77.519997,71.860001,77.300003,73.151131,153849
2018-11-15,77.500000,79.980003,76.720001,76.720001,72.602264,174588
2018-11-16,76.480003,78.440002,75.320000,77.339996,73.188980,185661
2018-11-19,76.720001,79.139999,76.239998,77.559998,73.397171,180848
2018-11-20,77.000000,77.900002,74.739998,75.220001,71.182770,157697
2018-11-21,75.199997,77.160004,74.839996,76.379997,72.280502,157854
2018-11-22,76.940002,77.919998,75.500000,76.440002,72.337288,104864
2018-11-23,76.599998,76.980003,71.599998,72.559998,68.665535,285657
2018-11-26,73.480003,73.699997,67.000000,67.300003,63.687855,378673
2018-11-27,67.500000,68.279999,64.400002,65.000000,61.511299,499919
2018-11-28,65.500000,66.500000,64.800003,65.779999,62.249435,413662
2018-11-29,66.160004,67.800003,66.160004,67.099998,63.498585,262447
2018-11-30,67.000000,67.300003,65.580002,65.599998,62.079094,393475
2018-12-03,69.300003,69.459999,68.019997,68.599998,64.918076,306508
2018-12-04,68.900002,71.239998,68.099998,71.199997,67.378525,288447
2018-12-05,69.980003,71.660004,69.139999,71.639999,67.794914,210942
2018-12-06,71.000000,71.099998,68.199997,68.660004,64.974861,252118
2018-12-07,69.459999,69.959999,67.879997,68.620003,64.937012,135128
2018-12-10,68.500000,68.500000,66.000000,66.000000,62.457626,112040
2018-12-11,66.739998,68.220001,66.059998,66.059998,62.514404,173666
2018-12-12,66.599998,67.239998,65.639999,66.300003,62.741528,424908
2018-12-13,67.000000,67.180000,65.919998,66.599998,63.025421,319936
2018-12-14,66.000000,67.000000,65.639999,66.959999,63.366100,170678
2018-12-17,66.400002,67.000000,66.099998,66.419998,62.855083,54018
2018-12-18,66.300003,68.800003,66.300003,67.779999,64.142090,183446
2018-12-19,68.260002,69.080002,67.519997,68.519997,64.842369,229049
2018-12-20,68.099998,68.680000,66.440002,67.279999,63.668926,226601
2018-12-21,66.900002,67.320000,65.000000,66.239998,62.684746,371832
2018-12-24,66.239998,66.239998,66.239998,66.239998,62.684746,0
