DateTime,Close,Open,High,Low,Volume
06:00 16.03.22,1919.56,1916.65,1920.04,1915.77,13543
07:00 16.03.22,1914.91,1919.44,1919.72,1912.43,17964
08:00 16.03.22,1916.04,1914.88,1918.86,1913.75,18221
09:00 16.03.22,1918.06,1916.03,1920.79,1911.54,25940
10:00 16.03.22,1921.67,1918.06,1923.32,1918.04,17669
11:00 16.03.22,1921.06,1921.67,1923.78,1917.71,21148
12:00 16.03.22,1924.56,1921.06,1926.97,1920.2,20344
13:00 16.03.22,1919.93,1924.56,1925.59,1915.43,37336
14:00 16.03.22,1915.5,1919.9,1921.88,1912.69,41681
15:00 16.03.22,1909.69,1915.5,1919.69,1904.08,66087
16:00 16.03.22,1911.61,1909.69,1915.76,1909.22,32157
17:00 16.03.22,1909.99,1911.62,1912.38,1906.88,27751
18:00 16.03.22,1907.39,1909.99,1911.15,1907.35,28229
19:00 16.03.22,1916.18,1907.31,1918.21,1894.89,72148
20:00 16.03.22,1927.83,1916.18,1929.11,1911.84,54796
21:00 16.03.22,1926.93,1927.84,1929.39,1921.24,17050
23:00 16.03.22,1925.51,1928.36,1928.36,1923.09,7208
00:00 17.03.22,1926.7,1925.53,1927.44,1925.03,7761
01:00 17.03.22,1926.87,1926.83,1927.51,1925.45,13034
02:00 17.03.22,1933.56,1926.85,1933.9,1926.26,24246
03:00 17.03.22,1934.33,1933.54,1935.97,1932.28,15248
04:00 17.03.22,1936.28,1934.33,1938.15,1933.82,16877
05:00 17.03.22,1935.87,1936.24,1937.24,1934.76,11012
06:00 17.03.22,1934.37,1935.87,1935.93,1932.88,14031
07:00 17.03.22,1931.85,1934.37,1934.71,1930.6,18862
08:00 17.03.22,1935.39,1931.8,1935.39,1929.96,19137
09:00 17.03.22,1940.01,1935.4,1942.57,1934.86,24685
10:00 17.03.22,1941.57,1939.99,1943.2,1934.59,23723
11:00 17.03.22,1943.15,1941.62,1946.73,1940.14,24437
12:00 17.03.22,1943.2,1943.15,1946.74,1940.49,24276
13:00 17.03.22,1938.85,1943.18,1944.54,1935.4,43688
14:00 17.03.22,1944.86,1938.85,1946.49,1936.71,49947
15:00 17.03.22,1948.4,1944.92,1949.04,1941.26,52738
16:00 17.03.22,1948.09,1948.4,1949.63,1945.77,47449
17:00 17.03.22,1944.24,1948.09,1948.15,1940.64,38485
18:00 17.03.22,1942.3,1944.26,1945.85,1940.76,33656
19:00 17.03.22,1940.65,1942.27,1942.27,1938.26,26501
